jurisdiction,official_url,notes,last_checked
Alabama,https://alex.state.al.us/browseSS.php,Alabama Learning Exchange (ALEX) – Social Studies standards landing page.,2025-10-29
Alaska,https://education.alaska.gov/standards,Alaska Standards landing page (includes Social Studies 2024).,2025-10-29
Arizona,https://www.azed.gov/standards-practices/k-12standards/standards-social-studies,Arizona K–12 Social Studies Standards.,2025-10-29
Arkansas,https://dese.ade.arkansas.gov/Offices/learning-services/curriculum-support/social-studies-standards-and-courses,Arkansas Social Studies Standards & Courses.,2025-10-29
California,https://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf,CA History–Social Science Content Standards (PDF).,2025-10-29
Colorado,https://www.cde.state.co.us/cosocialstudies,Colorado Academic Standards – Social Studies.,2025-10-29
Connecticut,https://portal.ct.gov/-/media/SDE/Social-Studies/ssframeworks.pdf,Connecticut Elementary and Secondary Social Studies Frameworks (PDF).,2025-10-29
Delaware,https://www.doe.k12.de.us/Page/2548,Delaware State Standards for Social Studies.,2025-10-29
District of Columbia,https://osse.dc.gov/page/social-studies-0,DC Social Studies standards page (links to 2023 adopted standards PDF).,2025-10-29
Florida,https://www.cpalms.org/Public/search/Standard,CPALMS standards portal (filter by subject: Social Studies).,2025-10-29
Georgia,https://case.georgiastandards.org/a446e74c-463e-11e7-94f5-b49cee8b2d8c/24119ac0-4640-11e7-895c-6f65eca932d0,Georgia Standards of Excellence – Social Studies (CASE portal).,2025-10-29
Hawaii,https://hawaiipublicschools.org/academics/subject-matter-standards/,Hawai‘i DOE Subject Matter Standards (HCSSS links).,2025-10-29
Idaho,https://www.sde.idaho.gov/about-us/departments/content-and-curriculum/social-studies/,Idaho Department of Education – Social Studies standards & resources.,2025-10-29
Illinois,https://www.isbe.net/Pages/Social-Science-Standards.aspx,Illinois Social Science Standards (landing page; PDFs linked).,2025-10-29
Indiana,https://www.in.gov/doe/students/indiana-academic-standards/social-studies/,Indiana Academic Standards – Social Studies.,2025-10-29
Iowa,https://educate.iowa.gov/pk-12/standards/academics/social-studies,Iowa Academic Standards – Social Studies.,2025-10-29
Kansas,https://www.ksde.org/Agency/Division-of-Learning-Services/Career-Standards-and-Assessment-Services/Content-Area-F-L/History-Government-and-Social-Studies,"Kansas History, Government, & Social Studies (HGSS) standards.",2025-10-29
Kentucky,https://education.ky.gov/curriculum/conpro/socstud/Pages/default.aspx,Kentucky Academic Standards (KAS) for Social Studies.,2025-10-29
Louisiana,https://www.louisianabelieves.com/docs/default-source/academic-curriculum/2022-k-12-louisiana-student-standards-for-social-studies.pdf,2022 Louisiana Student Standards for Social Studies (PDF).,2025-10-29
Maine,https://www.maine.gov/doe/learning/content/socialstudies/standards,Maine DOE – Social Studies Standards (by strand and grade bands).,2025-10-29
Maryland,https://marylandpublicschools.org/about/Pages/DCAA/Social-Studies/MSSS.aspx,Maryland Social Studies Standards (MSSS) landing page.,2025-10-29
Massachusetts,https://www.doe.mass.edu/frameworks/hss/2018-12.pdf,2018 MA History & Social Science Curriculum Framework (PDF).,2025-10-29
Michigan,https://www.michigan.gov/-/media/Project/Websites/mde/Academic-Standards/Social_Studies_Standards.pdf,Michigan K-12 Standards for Social Studies (PDF).,2025-10-29
Minnesota,https://education.mn.gov/mde/dse/stds/soc/,Minnesota K–12 Academic Standards in Social Studies.,2025-10-29
Mississippi,https://www.mdek12.org/sites/default/files/Offices/Secondary%20Ed/Social%20Studies/mde_ccrs_social_studies_standards_final_filing_jan_25_2023.pdf,MS College- and Career-Readiness Standards for Social Studies 2022 (final filing Jan 2023).,2025-10-29
Missouri,https://dese.mo.gov/college-career-readiness/curriculum/social-studies,Missouri Learning Standards – Social Studies (landing page; K–12 links).,2025-10-29
Montana,https://opi.mt.gov/Educators/Teaching-Learning/K-12-Content-Standards/Social-Studies-Standards,Montana Content Standards for Social Studies (adopted 2021).,2025-10-29
